date, pm25, pm10, o3, no2, so2
2018/12/30, 92, , , , 
2018/7/1, 57, 24, 13, 20, 2
2018/7/2, 62, 29, 11, 27, 1
2018/7/3, 65, 27, 13, 25, 2
2018/7/4, 64, 27, 11, 27, 1
2018/7/5, 64, 23, 12, 27, 1
2018/7/6, 61, 20, 12, 19, 1
2018/7/7, 55, 15, 15, 8, 1
2018/7/8, 43, 13, 17, 6, 1
2018/7/9, 36, 19, 23, 10, 1
2018/7/10, 46, 29, 21, 27, 3
2018/7/11, 72, 6, 17, 8, 1
2018/7/12, 24, 7, 15, 9, 1
2018/7/13, 19, 13, 16, 6, 1
2018/7/14, 30, 16, 16, 4, 1
2018/7/15, 26, 22, 23, 8, 1
2018/7/16, 49, 29, 29, 11, 1
2018/7/17, 55, 17, 15, 7, 1
2018/7/18, 39, 16, 18, 7, 1
2018/7/19, 35, 14, 22, 8, 1
2018/7/20, 33, 23, 18, 20, 2
2018/7/21, 54, 21, 10, 23, 4
2018/7/22, 49, 22, 13, 16, 2
2018/7/23, 49, 35, 15, 16, 1
2018/7/24, 60, 31, 15, 14, 1
2018/7/25, 60, 26, 14, 14, 2
2018/7/26, 51, 21, 13, 14, 2
2018/7/27, 48, 20, 14, 13, 2
2018/7/28, 49, 16, 13, 14, 2
2018/7/29, 48, 22, 8, 23, 3
2018/7/30, 47, 26, 8, 22, 3
2018/7/31, 58, 22, 9, 23, 3
2018/8/1, 55, 23, 13, 23, 2
2018/8/2, 53, 25, 11, 23, 2
2018/8/3, 58, 27, 11, 24, 2
2018/8/4, 63, 22, 18, 13, 2
2018/8/5, 57, 25, 17, 17, 2
2018/8/6, 56, 25, 21, 13, 2
2018/8/7, 59, 20, 21, 11, 1
2018/8/8, 55, 18, 22, 8, 1
2018/8/9, 47, 8, 16, 12, 1
2018/8/10, 24, 10, 21, 11, 1
2018/8/11, 34, 10, 22, 8, 1
2018/8/12, 33, 12, 25, 10, 1
2018/8/13, 39, 12, 30, 11, 1
2018/8/14, 41, 19, 27, 17, 1
2018/8/15, 54, 15, 18, 18, 1
2018/8/16, 40, 18, 7, 26, 2
2018/8/17, 50, 28, 8, 28, 2
2018/8/18, 64, 20, 15, 23, 2
2018/8/19, 54, 35, 14, 40, 3
2018/8/20, 84, 32, 28, 40, 3
2018/8/21, 90, 20, 21, 43, 4
2018/8/22, 56, 35, 21, 48, 4
2018/8/23, 91, 51, 39, 59, 4
2018/8/24, 118, 64, 58, 55, 6
2018/8/25, 146, 44, 56, 24, 3
2018/8/26, 104, 25, 26, 37, 2
2018/8/27, 75, 24, 14, 36, 2
2018/8/28, 68, 28, 10, 30, 2
2018/8/29, 65, 42, 8, 25, 1
2018/8/30, 73, 37, 8, 22, 2
2018/8/31, 67, , 6, 19, 2
2018/9/3, 60, , 9, 29, 3
2018/9/4, 61, , 19, 33, 1
2018/9/5, 69, 40, 33, 17, 1
2018/9/6, 82, 27, 26, 20, 2
2018/9/7, 66, 33, 24, 25, 3
2018/9/8, 80, 36, 39, 12, 2
2018/9/9, 84, 19, 30, 26, 2
2018/9/10, 46, 44, 53, 41, 4
2018/9/11, 95, 22, 37, 11, 1
2018/9/12, 50, 17, 28, 8, 
2018/9/13, 48, 26, 30, 17, 1
2018/9/14, 64, 30, 29, 20, 1
2018/9/15, 60, 25, 23, 2, 1
2018/9/16, 32, 28, 20, 5, 2
2018/9/17, 49, 22, 14, 9, 4
2018/9/18, 47, 38, 11, 35, 5
2018/9/19, 73, 44, 7, 39, 8
2018/9/20, 91, 28, 12, 28, 5
2018/9/21, 59, 28, 12, 15, 4
2018/9/22, 53, 15, 9, 10, 3
2018/9/23, 32, 17, 20, 15, 3
2018/9/24, 44, 28, 37, 12, 2
2018/9/25, 56, 41, 33, 29, 3
2018/9/26, 71, 48, 25, 32, 3
2018/9/27, 85, 54, 20, 20, 3
2018/9/28, 102, 50, 45, 19, 3
2018/9/29, 93, 43, 53, 13, 3
2018/9/30, 84, 48, 57, 15, 2
2018/4/1, 75, 54, 36, 23, 4
2018/4/2, 97, 44, 22, 26, 2
2018/4/3, 84, 45, 21, 18, 1
2018/4/4, 81, 30, 21, 14, 1
2018/4/5, 60, 38, 23, 19, 1
2018/4/6, 64, 77, 35, 15, 1
2018/4/7, 96, 74, 45, 16, 1
2018/4/8, 96, 64, 46, 18, 2
2018/4/9, 93, 43, 35, 18, 1
2018/4/10, 73, 39, 25, 21, 1
2018/4/11, 83, 29, 15, 19, 2
2018/4/12, 70, 18, 11, 17, 1
2018/4/13, 59, 21, 8, 20, 2
2018/4/14, 65, 23, 15, 18, 2
2018/4/15, 59, 23, 15, 20, 
2018/4/16, 59, 26, 33, 18, 
2018/4/17, 63, 54, 52, 15, 1
2018/4/18, 95, 47, 54, 12, 1
2018/4/19, 85, 49, 48, 10, 1
2018/4/20, 84, 49, 34, 10, 1
2018/4/21, 88, 44, 28, 11, 1
2018/4/22, 94, 24, 14, 19, 2
2018/4/23, 63, 25, 11, 23, 2
2018/4/24, 67, 30, 37, 15, 1
2018/4/25, 70, 46, 47, 12, 
2018/4/26, 90, 46, 45, 17, 1
2018/4/27, 101, 49, 49, 10, 2
2018/4/28, 111, 48, 43, 11, 1
2018/4/29, 106, 39, 26, 15, 1
2018/4/30, 88, 27, 13, 16, 2
2018/5/1, 66, 29, 8, 25, 3
2018/5/2, 68, 38, 47, 17, 3
2018/5/3, 82, 33, 51, 11, 1
2018/5/4, 66, 47, 43, 9, 1
2018/5/5, 71, 28, 17, 19, 2
2018/5/6, 60, 24, 8, 24, 1
2018/5/7, 59, 16, 16, 26, 2
2018/5/8, 53, 29, 46, 10, 2
2018/5/9, 64, 46, 49, 8, 1
2018/5/10, 72, 49, 40, 9, 1
2018/5/11, 75, 38, 24, 16, 2
2018/5/12, 73, 28, 15, 22, 4
2018/5/13, 65, 26, 11, 24, 2
2018/5/14, 63, 19, 12, 18, 1
2018/5/15, 54, 20, 12, 19, 2
2018/5/16, 54, 19, 9, 21, 2
2018/5/17, 53, 22, 9, 22, 2
2018/5/18, 61, 21, 12, 22, 2
2018/5/19, 59, 17, 10, 18, 3
2018/5/20, 56, 20, 11, 23, 2
2018/5/21, 60, 17, 18, 16, 2
2018/5/22, 52, 24, 22, 32, 3
2018/5/23, 63, 21, 24, 20, 2
2018/5/24, 58, 17, 13, 23, 2
2018/5/25, 52, 18, 10, 20, 2
2018/5/26, 53, 19, 11, 20, 2
2018/5/27, 55, 36, 34, 46, 6
2018/5/28, 91, 24, 20, 33, 3
2018/5/29, 61, 22, 13, 24, 4
2018/5/30, 58, 21, 10, 25, 3
2018/5/31, 57, 24, 38, 16, 2
2018/6/1, 61, 27, 42, 8, 
2018/6/2, 61, 30, 48, 7, 
2018/6/3, 70, 27, 34, 9, 
2018/6/4, 67, 13, 22, 13, 1
2018/6/5, 33, 14, 17, 17, 1
2018/6/6, 34, 14, 20, 15, 1
2018/6/7, 31, 16, 16, 21, 
2018/6/8, 43, 22, 19, 33, 2
2018/6/9, 60, 25, 46, 26, 2
2018/6/10, 75, 43, 52, 38, 4
2018/6/11, 97, 33, 44, 17, 1
2018/6/12, 86, 15, 28, 21, 1
2018/6/13, 50, 27, 43, 22, 1
2018/6/14, 75, 18, 36, 14, 1
2018/6/15, 57, 24, 48, 9, 1
2018/6/16, 48, 25, 40, 8, 1
2018/6/17, 63, 25, 34, 20, 2
2018/6/18, 69, 23, 13, 23, 1
2018/6/19, 55, 28, 12, 20, 1
2018/6/20, 59, 30, 5, 33, 1
2018/6/21, 78, 21, 10, 27, 2
2018/6/22, 58, 19, 7, 24, 1
2018/6/23, 47, 14, 16, 12, 1
2018/6/24, 35, 16, 13, 17, 1
2018/6/25, 39, 17, 12, 16, 1
2018/6/26, 43, 19, 10, 19, 2
2018/6/27, 48, 21, 13, 24, 3
2018/6/28, 52, 23, 14, 23, 2
2018/6/29, 58, 21, 12, 19, 2
2018/6/30, 56, 21, 13, 19, 2
2018/1/1, 148, 63, 41, 14, 2
2018/1/2, 124, 46, 37, 10, 2
2018/1/3, 75, 35, 31, 12, 1
2018/1/4, 71, 31, 20, 19, 
2018/1/5, 75, 11, 22, 10, 
2018/1/6, 34, 4, 24, 7, 1
2018/1/7, 11, 12, 18, 20, 1
2018/1/8, 43, 34, 26, 22, 1
2018/1/9, 103, 32, 26, 21, 2
2018/1/10, 67, 30, 32, 17, 2
2018/1/11, 62, 29, 32, 17, 2
2018/1/12, 56, 49, 41, 14, 3
2018/1/13, 81, 36, 37, 13, 2
2018/1/14, 62, 39, 36, 19, 3
2018/1/15, 74, 40, 29, 40, 4
2018/1/16, 77, 60, 46, 56, 9
